#date questions answers comments votes views
2010-04-22 2522 5218 8744 16948 6053848
2010-04-23 2243 4814 8219 16465 6426874
2010-04-24 1222 2597 4330 9042 3744376
2010-04-25 1175 2518 4386 9318 3580722
2010-04-26 2297 4876 8078 16526 7095999
2010-04-27 2512 5388 8928 17676 6567019
2010-04-28 2458 5238 8691 17759 6497031
2010-04-29 2342 5181 8317 17979 6071272
2010-04-30 2043 4471 7259 15399 5216686
2010-05-01 1114 2384 4016 8137 3161536
2010-05-02 1105 2299 3875 8461 2846309
2010-05-03 2053 4184 6847 14352 5365121
2010-05-04 2361 5052 8420 16605 6805686
2010-05-05 2403 5192 8727 17569 6430442
2010-05-06 2422 5068 8369 16472 7013791
2010-05-07 2132 4670 7556 15445 5542155
2010-05-08 1156 2465 3852 8513 3465386
2010-05-09 1132 2328 4180 8545 2730299
2010-05-10 2291 4977 7932 15906 5959891
2010-05-11 2439 5132 8606 17216 6565634
2010-05-12 2555 5542 8901 17772 7664965
2010-05-13 2306 4805 7870 16027 5441399
2010-05-14 2221 4839 7490 16417 6132397
2010-05-15 1159 2615 4235 9910 2957935
2010-05-16 1229 2607 4478 10199 2739062
2010-05-17 2401 5106 8058 17420 6057539
2010-05-18 2514 5555 8833 18458 6456262
2010-05-19 2534 5453 9030 18686 6108444
2010-05-20 2616 5532 8931 18500 5739218
2010-05-21 2307 5031 8821 16905 5663693
2010-05-22 1217 2587 3948 8944 3015857
2010-05-23 1202 2536 4258 9832 3067070
2010-05-24 2192 4701 7440 16570 5491471
2010-05-25 2494 5393 8691 18515 6194596
2010-05-26 2618 5374 9368 18352 6575560
2010-05-27 2523 5396 8815 18099 6184295
2010-05-28 2206 4928 7864 16374 4839819
2010-05-29 1250 2508 4185 8729 2793104
2010-05-30 1164 2542 4552 9203 3191148
2010-05-31 1882 3730 6351 13713 5102527
2010-06-01 2487 5013 8480 17133 5755417
2010-06-02 2618 5488 9369 17489 6226439
2010-06-03 2616 5419 9219 17725 5994040
2010-06-04 2422 5261 8591 16963 6348223
2010-06-05 1287 2783 4719 9314 2770051
2010-06-06 1257 2605 4577 9499 3037165
2010-06-07 2432 4908 8384 17268 5969844
2010-06-08 2605 5345 9355 18369 6239713
2010-06-09 2706 5585 9511 17941 7601295
2010-06-10 2702 5589 9465 18080 7175521
2010-06-11 2380 5034 8628 16616 5709993
2010-06-12 1173 2390 4000 8364 3000806
2010-06-13 1235 2527 4314 9562 2434830
2010-06-14 2359 4774 8382 16423 5441467
2010-06-15 2595 5431 9229 17535 6005314
2010-06-16 2598 5397 9565 18229 5757513
2010-06-17 2632 5529 9441 18527 6441063
2010-06-18 2255 4951 8375 16422 5162794
2010-06-19 1283 2637 4324 9139 2985586
2010-06-20 1236 2539 4366 9395 2148895
2010-06-21 2480 5119 8719 17550 5381393
2010-06-22 2707 5728 9604 18538 5905624
2010-06-23 2588 5501 9445 18611 4957155
2010-06-24 2621 5528 9555 18260 4850740
2010-06-25 2349 4879 8399 16291 4739754
2010-06-26 1154 2540 4405 9307 1885300
2010-06-27 1156 2406 4287 8978 2670597
2010-06-28 2418 5059 8646 16941 4903155
2010-06-29 2737 5657 9637 17753 6380622
2010-06-30 2932 5946 10197 19189 7259059
2010-07-01 2724 5774 9781 18920 5665156
2010-07-02 2350 4884 8449 16758 5215702
2010-07-03 1152 2355 4111 8493 2044127
2010-07-04 1112 2346 4462 8588 2064264
2010-07-05 2001 4076 7366 14414 3864044
2010-07-06 2594 5443 9541 18191 4985260
2010-07-07 2990 6320 10148 19918 6024784
2010-07-08 3163 6817 11160 22173 6872369
2010-07-09 2829 6331 10287 21085 6400432
2010-07-10 1405 3091 5275 11201 3533445
2010-07-11 1370 2888 5172 10432 3021053
2010-07-12 2739 5443 9929 19094 5491184
2010-07-13 2981 6602 11505 21257 6402536
2010-07-14 3162 6540 11449 22454 6833128
2010-07-15 3273 7267 12034 23374 6525854
2010-07-16 2927 6422 10934 22078 7162027
2010-07-17 1513 3364 5395 11620 4395472
2010-07-18 1418 3207 5391 11574 3856519
2010-07-19 2831 6150 10416 20761 6729630
2010-07-20 3167 6812 11394 22493 7536541
2010-07-21 3225 7014 12116 23080 7874437
2010-07-22 3348 7275 12227 24281 8248746
2010-07-23 2960 6652 11255 22078 6688114
2010-07-24 1397 3123 5364 11416 3541728
2010-07-25 1406 3046 5442 11614 3536801
2010-07-26 2880 6136 10385 21236 7489874
2010-07-27 3092 6756 11859 23114 7280904
2010-07-28 3353 7177 12190 23363 8256999
2010-07-29 3220 6900 11881 22631 7399775
2010-07-30 2747 6050 10676 20165 5882861
2010-07-31 1447 3065 5343 10752 2874277
2010-08-01 1381 3008 5326 11249 3716503
2010-08-02 2922 5916 9920 20256 6497374
2010-08-03 2974 6446 11267 21160 7158034
2010-08-04 3228 6771 11410 23021 8013844
2010-08-05 3292 7069 12009 23181 8227504
2010-08-06 2914 6292 10757 20939 6763052
2010-08-07 1382 3068 5400 11189 3872577
2010-08-08 1477 3019 5569 11286 3793517
2010-08-09 3065 6116 10820 21127 7901071
2010-08-10 3187 6967 11851 22735 7530938
2010-08-11 3226 7229 11998 23750 7442601
2010-08-12 3270 6677 12343 22458 7522819
2010-08-13 2966 6235 11345 21558 8131992
2010-08-14 1546 3307 5752 12217 3903430
2010-08-15 1500 3135 6012 12428 3656808
2010-08-16 3050 6260 11109 22284 7326091
2010-08-17 3410 7281 12432 24603 8304697
2010-08-18 3416 7361 13019 24543 7810989
2010-08-19 3360 7155 12787 24003 8014167
2010-08-20 2925 6665 11424 22351 6037152
2010-08-21 1452 3118 5688 12559 3783633
2010-08-22 1687 3508 6072 12601 3981658
2010-08-23 3040 6519 11464 22515 6887152
2010-08-24 3271 7125 12748 24936 7234601
2010-08-25 3226 6960 12363 24146 6913313
2010-08-26 3316 7048 11802 24228 7229430
2010-08-27 2963 6517 11399 22662 7057396
2010-08-28 1513 3337 5440 11912 3892744
2010-08-29 1499 3240 5871 12792 4263207
2010-08-30 2725 5973 10101 21317 6005120
2010-08-31 3112 6657 11512 22271 6793000
2010-09-01 3218 6692 11508 23054 7591876
2010-09-02 3147 6566 11476 22790 7063714
2010-09-03 2874 6172 10663 20960 6410115
2010-09-04 1569 3282 5834 12202 3885798
2010-09-05 1422 2979 5648 11972 3190622
2010-09-06 2402 4732 8403 16457 5816412
2010-09-07 3007 6310 11441 22205 7024671
2010-09-08 3244 6597 12265 22665 7173487
2010-09-09 2996 6433 11974 22570 6882687
2010-09-10 2727 5812 10696 21146 5598132
2010-09-11 1489 3042 5535 11126 2989436
2010-09-12 1481 3205 6326 12275 4447250
2010-09-13 2973 5845 10923 21026 7084254
2010-09-14 3078 6276 12042 23153 6843040
2010-09-15 3190 6573 12101 22473 7066633
2010-09-16 3150 6620 12011 23519 7627868
2010-09-17 2851 5846 11169 21376 6478427
2010-09-18 1534 3073 5681 11399 3623910
2010-09-19 1451 2968 5479 11801 3599498
2010-09-20 2936 6077 11052 21729 6890781
2010-09-21 3047 6469 12089 22490 6990937
2010-09-22 3129 6556 12207 22979 6883701
2010-09-23 3013 6388 11846 21998 7602475
2010-09-24 2907 6117 11219 20692 7153373
2010-09-25 1503 3089 5825 11308 3416253
2010-09-26 1526 3203 5884 11667 3171952
2010-09-27 2884 5932 11163 21540 6922171
2010-09-28 3130 6546 12013 23245 6323327
2010-09-29 3120 6508 12317 22843 7268464
2010-09-30 3078 6449 12112 22689 7297301
2010-10-01 2819 5948 10822 21007 6781555
2010-10-02 1580 3110 5792 11449 3881431
2010-10-03 1530 3084 6152 12369 2968270
2010-10-04 2844 5724 10568 20142 6069138
2010-10-05 3071 6294 11560 22183 6205887
2010-10-06 3270 6567 12738 22752 7262503
2010-10-07 3172 6453 12368 21812 6836670
2010-10-08 2933 6015 11269 20354 6578598
2010-10-09 1267 2602 4997 9582 2654095
2010-10-10 1736 3408 6220 12113 4127177
2010-10-11 2947 5985 11005 20838 6811588
2010-10-12 3234 6760 12527 23644 7805771
2010-10-13 3326 6786 12679 24916 7533644
2010-10-14 3413 6938 13109 24330 7975172
2010-10-15 2940 6334 12096 22698 7161449
2010-10-16 1584 3411 6164 12274 3796778
2010-10-17 1671 3481 6718 13488 3866099
2010-10-18 3002 6263 11665 22850 6792413
2010-10-19 3379 6925 12861 26699 7260839
2010-10-20 3411 7026 13395 26227 7788207
2010-10-21 3456 7081 13854 26760 6995528
2010-10-22 3083 6483 12447 24308 6127726
2010-10-23 1773 3675 6920 14316 4057874
2010-10-24 1643 3350 6404 12944 3719099
2010-10-25 3085 6365 12248 23244 7107190
2010-10-26 3279 6725 13122 25465 7030684
2010-10-27 3467 7031 13754 25508 7779583
2010-10-28 3321 6967 13063 25138 6905182
2010-10-29 3034 6449 12032 23431 6239466
2010-10-30 1704 3479 6310 13357 4194168
2010-10-31 1707 3548 6577 12947 3818556
2010-11-01 2943 6078 11346 22287 6739661
2010-11-02 3225 6815 12715 24612 7166164
2010-11-03 3291 7082 13452 25692 7924990
2010-11-04 3362 7167 13597 26225 7415732
2010-11-05 2943 6530 11946 23382 6192788
2010-11-06 1745 3559 6678 13248 4714760
2010-11-07 1748 3483 7106 13913 3847923
2010-11-08 3247 6665 13178 24127 7475205
2010-11-09 3788 7860 14753 26144 8283512
2010-11-10 3614 7651 14600 26603 8274004
2010-11-11 3539 7355 13777 25067 7933621
2010-11-12 3334 7173 13277 24909 8719939
2010-11-13 1961 4009 7457 14969 4127775
2010-11-14 1876 3886 7294 14753 3969537
2010-11-15 3342 7024 12978 23964 8650816
2010-11-16 3566 7492 13821 25775 8276994
2010-11-17 3472 7566 13877 25615 7729152
2010-11-18 3685 7683 14346 26605 8596775
2010-11-19 3359 7328 13596 24485 7781329
2010-11-20 1922 3897 7378 14274 4363522
2010-11-21 1940 4080 7805 14544 4042925
2010-11-22 3527 7521 13920 26344 7846157
2010-11-23 3735 7729 14685 26238 8779459
2010-11-24 3539 7623 14596 25591 7995466
2010-11-25 3076 6272 11607 19650 6833781
2010-11-26 2622 5467 10382 18892 5543980
2010-11-27 1932 3865 7108 13661 4110829
2010-11-28 1907 3997 7830 14812 4148189
2010-11-29 3303 6804 12667 24362 7396904
2010-11-30 3679 7846 14766 27195 8389292
2010-12-01 3679 7569 14449 25596 8902587
2010-12-02 3801 7919 15507 26104 8490334
2010-12-03 3361 7102 13684 24593 7738964
2010-12-04 1966 4067 7732 14192 4738588
2010-12-05 1997 4071 7823 14558 4087921
2010-12-06 3431 7075 14248 24907 7955082
2010-12-07 3670 7519 14556 25594 8375145
2010-12-08 3618 7486 14641 25621 8041287
2010-12-09 3714 7684 14796 26750 7689417
2010-12-10 3425 7153 13318 24461 7283900
2010-12-11 1942 3961 8117 14343 3970567
2010-12-12 1863 3813 7670 14362 3989646
2010-12-13 3407 7082 13611 25227 6589517
2010-12-14 3748 7777 14897 26203 8070509
2010-12-15 3702 7757 14799 26386 7282968
2010-12-16 3576 7376 14361 25241 8695715
2010-12-17 3186 6781 13054 24319 6809019
2010-12-18 1820 3799 6991 13877 3496067
2010-12-19 1859 3757 7350 14350 3798883
2010-12-20 3254 6671 13209 23673 7218265
2010-12-21 3390 7253 13747 24748 7041482
2010-12-22 3431 7070 13716 23976 7615659
2010-12-23 2905 6152 11700 20690 5860556
2010-12-24 1892 3837 7362 13534 4088144
2010-12-25 1318 2437 4537 8579 2789516
2010-12-26 1426 2804 5376 10826 3248636
2010-12-27 2466 4839 9002 16350 5117399
2010-12-28 2778 5560 10886 19342 6191619
2010-12-29 2957 6160 12123 21096 6510663
2010-12-30 2886 6060 11961 20297 6913164
2010-12-31 1935 4029 8029 14728 4331873
2011-01-01 1318 2802 5712 10964 3414099
2011-01-02 1752 3653 7359 13324 4052052
2011-01-03 2924 6160 12265 23211 7354334
2011-01-04 3589 7618 14250 26910 9435334
2011-01-05 3840 7948 15175 26709 10451858
2011-01-06 3799 7851 15356 26753 9370649
2011-01-07 3615 7380 14333 26038 8686925
2011-01-08 2055 4138 8106 15605 4758036
2011-01-09 2141 4492 9258 16634 5116982
2011-01-10 3705 7602 15114 26160 10359612
2011-01-11 4042 8174 16156 28497 9711851
2011-01-12 4059 8448 16702 29211 9626075
2011-01-13 4165 8519 16961 29350 10063883
2011-01-14 3760 7990 15797 28161 8526678
2011-01-15 2107 4458 8346 15815 5433707
2011-01-16 2269 4700 9381 16349 5464761
2011-01-17 3822 7682 15031 26801 9359490
2011-01-18 4021 8185 15813 28192 9543248
2011-01-19 4283 8693 17192 30869 9423374
2011-01-20 4332 8821 17300 31146 10832274
2011-01-21 4014 8229 16252 28787 10273297
2011-01-22 2391 4816 9754 18718 5438952
2011-01-23 2314 4737 9610 18019 5924434
2011-01-24 4086 8352 16330 30363 10434349
2011-01-25 4238 8682 17128 31523 10253367
2011-01-26 4075 8573 17216 31476 10051824
2011-01-27 4315 8664 17552 31688 10643603
2011-01-28 3969 8143 16996 29876 9084076
2011-01-29 2365 4732 9645 17673 5811204
2011-01-30 2362 4939 10115 19070 6614449
2011-01-31 4049 8199 16785 30640 9746961
2011-02-01 4263 8879 17739 32037 9867029
2011-02-02 4326 8985 17811 31711 10330627
2011-02-03 4346 8656 17330 30835 10635462
2011-02-04 3957 8471 16817 30616 9058672
2011-02-05 2416 4813 9951 18573 6188781
2011-02-06 2511 5005 10764 19756 5394582
2011-02-07 4179 8125 16406 29999 8708785
2011-02-08 4460 8904 17996 33188 10768482
2011-02-09 4514 9199 18294 32848 9877381
2011-02-10 4505 9119 17932 32334 10780756
2011-02-11 4088 8086 16497 29447 9227399
2011-02-12 2380 4801 9670 17840 5712578
2011-02-13 2417 4856 10011 19494 5060576
2011-02-14 4076 7985 16029 30204 9751591
2011-02-15 4397 8828 17170 32233 10522859
2011-02-16 4656 9310 18065 31796 11708863
2011-02-17 4570 9244 18225 33470 10881507
2011-02-18 4161 8591 17029 30547 8780039
2011-02-19 2372 4837 10001 17551 5757846
2011-02-20 2518 5088 10151 19049 5435766
2011-02-21 4266 8343 16359 29027 9905252
2011-02-22 4768 9337 17868 32140 10481183
2011-02-23 4875 9644 19047 33431 10723058
2011-02-24 4679 9520 18385 33326 10390961
2011-02-25 4329 8892 17058 31423 10402914
2011-02-26 2469 4983 9296 18561 5597116
2011-02-27 2442 4892 9750 18656 5749781
2011-02-28 4306 8723 17254 30831 9710386
2011-03-01 4603 9340 18520 33330 9970263
2011-03-02 4718 9490 18259 33299 9922369
2011-03-03 4704 9600 18304 33409 10417387
2011-03-04 4379 9026 17581 31370 10026305
2011-03-05 2639 5312 10383 19765 5757643
2011-03-06 2570 5096 10114 19231 5984771
2011-03-07 4558 8953 17514 31296 9199411
2011-03-08 4790 9441 18600 32146 10610539
2011-03-09 5058 10031 19448 34779 11623406
2011-03-10 4835 9820 19778 33918 10900654
2011-03-11 4396 8967 17027 30286 9518758
2011-03-12 2500 5048 10030 18288 6135046
2011-03-13 2608 5279 10537 19418 6834071
2011-03-14 4655 8878 17792 31443 10748807
2011-03-15 4784 9524 19465 33382 11010793
2011-03-16 4903 9921 20192 33911 10528833
2011-03-17 4748 9714 19142 32806 10595109
2011-03-18 4432 8935 17759 31529 9315153
2011-03-19 2496 5098 9975 18890 5390349
2011-03-20 2592 5031 10423 18734 5687015
2011-03-21 4554 9031 17955 31794 10672455
2011-03-22 5037 10104 19993 34260 10759253
2011-03-23 5020 9774 19716 33166 11829258
2011-03-24 4854 9892 19658 34344 10307322
2011-03-25 4330 8848 18002 31409 9006810
2011-03-26 2589 5094 10218 18007 5543066
2011-03-27 2711 5221 10887 19813 5690259
2011-03-28 4665 9365 18655 32489 9545966
2011-03-29 4897 10008 20099 32996 10042930
2011-03-30 4743 9772 20215 33134 10600288
2011-03-31 4970 9883 20360 34076 9871733
2011-04-01 4318 8695 18123 34244 9000190
2011-04-02 2465 4985 10093 19084 5017977
2011-04-03 2554 5030 10297 18800 5239012
2011-04-04 4542 8709 18076 31982 8498756
2011-04-05 5120 10151 20412 35386 10316922
2011-04-06 5158 10135 20545 36160 10297281
2011-04-07 5127 10365 20442 35028 11796475
2011-04-08 4567 9395 19201 32970 9476740
2011-04-09 2610 5039 10012 18633 5431423
2011-04-10 2634 5090 10808 19769 5196496
2011-04-11 4801 9510 19348 34016 10380454
2011-04-12 5096 10046 20746 35687 10245867
2011-04-13 5027 10144 20948 36124 10136608
2011-04-14 5032 9945 21139 35078 10752684
2011-04-15 4536 8990 18946 32435 8724954
2011-04-16 2633 5001 10217 18031 6071108
2011-04-17 2600 5011 10865 18718 4961326
2011-04-18 4664 9056 19374 32775 10653925
2011-04-19 5061 9766 19637 34752 10059943
2011-04-20 5082 9693 19739 34834 10046685
2011-04-21 4646 9442 19792 34609 9002243
2011-04-22 3711 7151 15585 27415 7433439
2011-04-23 2520 4798 10134 18625 5779662
2011-04-24 2375 4649 9792 17990 5317014
2011-04-25 3878 7481 15579 28386 7197455
2011-04-26 4820 9493 20123 35284 9580100
2011-04-27 5247 10122 21543 38192 10570159
2011-04-28 5128 10292 21619 37258 10480197
2011-04-29 4396 8650 17446 31997 8612495
2011-04-30 2699 4990 10630 19339 5343534
2011-05-01 2706 5107 11220 19760 5263687
2011-05-02 4312 8095 17368 30843 8058848
2011-05-03 4914 9583 20088 36455 10143872
2011-05-04 5128 10169 21366 38907 9870355
2011-05-05 5199 10065 21102 38844 10635002
2011-05-06 4728 9181 19160 36983 9396836
2011-05-07 2554 4906 10274 20440 4963134
2011-05-08 2527 4826 10668 21102 4870066
2011-05-09 4711 8821 18982 38507 8900732
2011-05-10 5136 10017 21238 41367 10152892
2011-05-11 5265 10180 21399 41573 9791124
2011-05-12 5093 9889 21395 41074 9185127
2011-05-13 4722 9336 19904 37995 8903742
2011-05-14 2542 4837 10532 20649 5152703
2011-05-15 2554 4854 10575 21755 4616018
2011-05-16 4713 9044 19171 37555 9135287
2011-05-17 4998 9874 20696 40856 9945649
2011-05-18 5121 10023 21482 40881 9800626
2011-05-19 5041 9714 21143 41020 9670350
2011-05-20 4635 9065 19469 37805 9109507
2011-05-21 2481 4790 10025 20193 5007097
2011-05-22 2550 4742 10079 21157 4697374
2011-05-23 4794 9143 19669 38692 8931626
2011-05-24 5061 9953 21457 41798 9869154
2011-05-25 5141 10290 21822 43237 9879937
2011-05-26 5199 10112 22075 41365 9731459
2011-05-27 4436 9133 20000 38185 8534762
2011-05-28 2429 4795 10778 21178 5545142
2011-05-29 2420 4577 10363 21766 4668243
2011-05-30 3941 7404 16135 30633 7197515
2011-05-31 4809 9521 20721 40567 8508446
2011-06-01 5146 10290 22298 43560 9681673
2011-06-02 4688 9251 20142 39598 8912417
2011-06-03 4454 8851 19582 37861 7344162
2011-06-04 2477 4774 10679 22321 4646283
2011-06-05 2619 5050 11429 22849 4562844
2011-06-06 4798 8965 19975 38202 7955622
2011-06-07 4933 9711 21317 41250 9574117
2011-06-08 5178 9854 21728 41413 9212155
2011-06-09 5179 9908 21918 42367 9542602
2011-06-10 4580 9188 19631 38565 8223698
2011-06-11 2371 4568 10064 21191 3962763
2011-06-12 2475 4636 10402 22044 4241262
2011-06-13 4548 8620 18858 36443 8538778
2011-06-14 4953 9946 21409 42692 9351335
2011-06-15 5154 10059 22274 42385 9680027
2011-06-16 5143 10104 21935 42313 9058849
2011-06-17 4619 9496 20280 39522 8566474
2011-06-18 2552 4912 10739 21959 4677765
2011-06-19 2397 4554 10355 21146 4151928
2011-06-20 4799 9211 20247 40113 8377666
2011-06-21 5304 10425 21587 43016 9432467
2011-06-22 5265 10417 22785 44105 8922758
2011-06-23 5172 10217 21988 43907 8522731
2011-06-24 4548 9159 19662 38385 8402662
2011-06-25 2448 4746 10335 21266 4192554
2011-06-26 2427 4720 10480 20849 4331593
2011-06-27 4743 8945 20424 39080 7088101
2011-06-28 5056 9869 21890 41517 8149684
2011-06-29 5236 10038 22122 41927 8362110
2011-06-30 4992 9742 21667 40619 8721527
2011-07-01 4206 8481 18234 34908 7012554
2011-07-02 2284 4325 9373 19144 3868673
2011-07-03 2345 4416 9500 19964 3650081
2011-07-04 3962 7331 15701 30297 6462342
2011-07-05 4812 9030 19794 38062 7882562
2011-07-06 5182 9988 21616 41335 8761344
2011-07-07 5138 9809 21147 40047 7845016
2011-07-08 4727 9220 20171 37884 7716037
2011-07-09 2461 4794 10002 20829 3930322
2011-07-10 2410 4494 10152 19403 3744611
2011-07-11 4970 9410 20147 38697 8385162
2011-07-12 5295 10308 22243 41454 9027929
2011-07-13 5234 10125 21975 40793 9040136
2011-07-14 5167 9726 21310 38737 8098551
2011-07-15 4636 8997 19418 35913 7301745
2011-07-16 2497 4869 10360 20225 3301649
2011-07-17 2493 4814 10425 19635 3724313
2011-07-18 4898 9143 19824 37470 7021449
2011-07-19 5254 10164 22043 39816 8111675
2011-07-20 5192 9996 22067 40312 8864390
2011-07-21 5263 10000 21964 41439 9431417
2011-07-22 4715 9161 20170 36820 8562483
2011-07-23 2507 4831 10298 20690 4662303
2011-07-24 2476 4703 10608 20982 4594469
2011-07-25 4830 9228 20099 38505 7503469
2011-07-26 5224 9720 21852 40629 8491840
2011-07-27 5368 10055 22308 40599 9058116
2011-07-28 5205 10173 22095 40319 8689096
2011-07-29 4665 9166 19774 37012 7353466
2011-07-30 2491 4754 9815 20237 3476282
2011-07-31 2467 4725 9728 20554 3918871
2011-08-01 4713 8792 19206 36005 7235793
2011-08-02 5233 9954 21646 41279 8802704
2011-08-03 5351 10269 22197 41545 8065712
2011-08-04 5568 10604 22402 41821 9339118
2011-08-05 4938 9703 20967 38358 7721083
2011-08-06 2302 4357 8888 18330 3656112
2011-08-07 2594 5009 11273 21330 3957652
2011-08-08 4906 9313 20191 40028 8201905
2011-08-09 5338 10250 22589 42540 8108289
2011-08-10 5454 10413 22401 42647 8495035
2011-08-11 5417 10268 23045 43274 8969312
2011-08-12 4813 9369 20587 39496 7525375
2011-08-13 2449 4777 10988 21258 3703976
2011-08-14 2520 4775 11219 21739 4239854
2011-08-15 4476 8332 19230 38102 6937524
2011-08-16 5202 10149 22175 43830 8465156
2011-08-17 5380 10218 23097 45209 7935910
2011-08-18 5283 10409 23400 44845 8045762
2011-08-19 4761 9063 20896 39193 7460329
2011-08-20 2580 4898 10924 20473 3884108
2011-08-21 2544 4777 11161 21846 3706707
2011-08-22 4748 9112 19784 40078 7577241
2011-08-23 5171 9802 21879 43710 8362224
2011-08-24 5357 10536 22844 44860 8490364
2011-08-25 5415 10437 22861 43198 8847289
2011-08-26 4726 9332 20467 39383 7366223
2011-08-27 2512 4735 10235 21299 3787374
2011-08-28 2551 4931 10878 22146 4220149
2011-08-29 4564 8753 19105 39514 7520680
2011-08-30 5049 9845 21093 43213 7935781
2011-08-31 5220 10023 22433 44272 8041143
2011-09-01 4981 9433 21447 42843 8022149
2011-09-02 4580 8576 19723 39097 7040989
2011-09-03 2467 4652 10185 21967 3794788
2011-09-04 2467 4581 10688 22484 4145132
2011-09-05 4119 7441 16386 32369 6236388
2011-09-06 5054 9506 21065 43069 8019467
2011-09-07 5345 9830 22111 44114 7861390
2011-09-08 5269 9824 20908 42506 8785453
2011-09-09 4704 9071 20005 38698 7385418
2011-09-10 2628 4854 10362 22109 4499465
2011-09-11 2602 4828 10674 22544 4045201
2011-09-12 4862 9077 20626 41081 7448917
2011-09-13 5331 9853 22496 43697 8016763
2011-09-14 5395 10164 22280 44866 8935655
2011-09-15 5304 9966 21271 43704 8066525
2011-09-16 4756 8763 19866 39292 6900682
2011-09-17 2663 4977 10229 21632 4031076
2011-09-18 2568 4725 10227 21895 3908868
2011-09-19 4988 9019 19382 38775 7462581
2011-09-20 5374 9912 21656 42245 7729243
2011-09-21 5436 10223 22199 42534 7639310
2011-09-22 5400 10125 21441 43146 7922276
2011-09-23 4830 8984 19312 38628 7122235
2011-09-24 2641 4734 10009 21234 4082487
2011-09-25 2601 4742 10278 21658 4155259
2011-09-26 4981 9076 19839 40707 7273121
2011-09-27 5116 9837 21194 43212 7263786
2011-09-28 5279 9580 21057 41286 7427978
2011-09-29 5000 9242 20398 40885 6904584
2011-09-30 4702 8622 19798 38569 7303753
2011-10-01 2464 4603 9814 20667 3417474
2011-10-02 2484 4408 10125 20986 3542210
2011-10-03 4462 8158 18025 37214 6393362
2011-10-04 5035 9126 20193 40729 7259230
2011-10-05 5136 9571 20447 41833 7439870
2011-10-06 4814 8746 18699 37902 6629992
2011-10-07 4605 8360 18311 36890 6681102
2011-10-08 2504 4573 9591 21061 3916538
2011-10-09 2716 4687 10207 21691 3853390
2011-10-10 4734 8410 18578 37153 7479255
2011-10-11 5181 9356 20490 41957 7211109
2011-10-12 5296 9654 20608 40794 8007060
2011-10-13 5145 9274 19616 39966 8251909
2011-10-14 5095 8923 19683 39491 8646453
2011-10-15 2907 4878 10275 21276 5122358
2011-10-16 2841 4814 10439 21180 4423056
2011-10-17 4984 8934 19222 39044 8195461
2011-10-18 5465 9662 21581 42436 8046831
2011-10-19 5574 9968 21590 41341 8732877
2011-10-20 5327 9504 21142 40636 8189209
2011-10-21 4873 8998 19308 38501 7734412
2011-10-22 2750 4853 10569 21219 4297830
2011-10-23 2769 4791 10671 21426 4734096
2011-10-24 4979 9071 20006 38789 8166156
2011-10-25 5255 9828 21719 43221 7996483
2011-10-26 4949 9325 21177 42844 7359191
2011-10-27 5221 9454 21092 41572 8118153
2011-10-28 4554 8477 18728 37261 6794003
2011-10-29 2591 4619 9714 20754 4219431
2011-10-30 2623 4505 10500 21529 3863691
2011-10-31 4676 8380 18380 37116 6958243
2011-11-01 5047 8984 20099 38587 7454319
2011-11-02 5339 9894 21495 42610 7876522
2011-11-03 5375 9886 21817 42531 7638253
2011-11-04 5033 9362 19880 38808 7243280
2011-11-05 2755 4970 10650 22088 4175285
2011-11-06 2806 5034 10927 22166 3956752
2011-11-07 4962 8868 19562 39148 7112348
2011-11-08 5373 9874 21444 45303 8014042
2011-11-09 5484 10055 22758 45061 8055642
2011-11-10 5521 10022 22226 44865 7669682
2011-11-11 5002 9202 20023 39799 9715160
2011-11-12 2820 5129 11267 23141 6756310
2011-11-13 2896 5202 12068 24246 6895387
2011-11-14 5247 9581 21512 43893 9449370
2011-11-15 5533 10429 23088 46988 10866343
2011-11-16 5865 10780 23836 48031 9766522
2011-11-17 5757 10760 24026 47720 9031693
2011-11-18 5208 10135 22512 45093 8845785
2011-11-19 3036 5428 11927 24803 4723981
2011-11-20 3003 5323 12042 24996 4684679
2011-11-21 5411 9842 22291 44508 8200195
2011-11-22 5779 10603 23652 49637 8900456
2011-11-23 5524 10258 23304 47202 8140992
2011-11-24 4783 8715 19358 37589 7111329
2011-11-25 4398 7927 18001 35703 6499373
2011-11-26 2831 5159 11420 24840 4094945
2011-11-27 2894 5324 12259 25905 4872955
2011-11-28 5245 9683 21957 44773 7955726
2011-11-29 5762 10700 24272 50055 8474100
2011-11-30 5773 10777 24142 49369 8668377
2011-12-01 5599 10581 23682 46919 8307267
2011-12-02 5230 9715 21964 42912 7463402
2011-12-03 2983 5523 12134 25195 4928453
2011-12-04 2921 5357 11774 24891 4030524
2011-12-05 5260 9611 21650 44057 7700837
2011-12-06 5659 10331 23212 47494 8063274
2011-12-07 5947 10776 24533 47233 8041699
2011-12-08 5583 10387 23489 44521 8001627
2011-12-09 5016 9505 21179 42797 7528733
2011-12-10 2983 5280 12033 24006 4065548
2011-12-11 2933 5350 12544 24446 4399105
2011-12-12 5265 9612 21294 43499 7891338
2011-12-13 5697 10442 24150 47054 8598588
2011-12-14 5807 10878 24668 47665 8031063
2011-12-15 5533 10220 23461 46678 7749185
2011-12-16 4885 9343 20874 42010 7201993
2011-12-17 2980 5257 11984 24952 4324780
2011-12-18 2797 5121 12344 24638 4548836
2011-12-19 5185 9247 21714 44364 8360631
2011-12-20 5297 9995 23053 45819 7148156
